feature,importance
dstd_z_R_thigh_1,0.0001445086705202492
dstd_x_R_thigh_2,0.0
dstd_y_R_thigh_2,0.0
dstd_z_R_thigh_2,-0.00014450867052021588
dstd_x_R_thigh_3,-0.0008188824662813011
dstd_y_R_thigh_3,0.0
dstd_z_R_thigh_3,0.0
dstd_x_R_thigh_4,-0.0007225433526011349
dstd_y_R_thigh_4,-0.0008188824662812788
dstd_z_R_thigh_4,0.0
dstd_x_pelvis_1,-0.00019267822736027674
dstd_y_pelvis_1,-0.0005298651252408137
dstd_z_pelvis_1,-0.0002408477842003598
dstd_x_pelvis_2,1.1102230246251566e-17
dstd_y_pelvis_2,0.0002408477842004153
dstd_z_pelvis_2,-0.00019267822736028782
dstd_x_pelvis_3,-0.00014450867052020477
dstd_y_pelvis_3,4.816955684009416e-05
dstd_z_pelvis_3,-4.8169556840071956e-05
dstd_x_pelvis_4,-0.00028901734104043176
dstd_y_pelvis_4,4.816955684009416e-05
dstd_z_pelvis_4,-0.00014450867052020477
